Driven Brands - MSO,,,,,,,,,,,,,,
Part Status - Concise,,,,,,,,,,,,,,
As of: Today (4/30/2024),,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: All",,,,,,,,,,,,,,
"Sorted By: Repair Order Information (ASC), Line (ASC)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
      RO Number,      Line,      Part Number,      Part Description,      Part Type,      Vendor Name,      RO Qty,      Ordered Qty,      Ordered Date,      Expected Delivery,      Received Qty,      Invoice Date,      Returned Qty,,
1004,0,NC1056131F,GUARD,OEM,GALPIN MOTOR - 15678,0,0,,,2,1/22/2024 12:00:00 AM,0,,
1004,0,81248-B1000,TRUNK LID COVER,OEM,Genesis of Westlake Village - 15678,0,0,,,1,4/3/2024 12:00:00 AM,1,,
1004,0,acd 10-9289,oil,OEM,H&H Wholesale Parts - 15678,0,0,,,6,7/12/2023 12:00:00 AM,0,,
1004,0,acd 10-9289,oil. synthetic,OEM,H&H Wholesale Parts - 15678,0,0,,,48,5/15/2023 12:00:00 AM,0,,
1004,0,oem antifreeze,antifreeze,OEM,H&H Wholesale Parts - 15678,0,0,,,4,7/28/2023 12:00:00 AM,0,,
1004,0,15400plma02,filter,OEM,Honda of Thousand Oaks - 15678,0,0,,,2,6/2/2023 12:00:00 AM,0,,
1004,0,31500sr1-100m,battery,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,5/10/2023 12:00:00 AM,0,,
1004,0,34250s5pa01zd,light ass. return,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,9/26/2023 12:00:00 AM,1,,
1004,0,43022tz5a11,"set, rr pad",OEM,Honda of Thousand Oaks - 15678,0,0,,,1,5/16/2023 12:00:00 AM,0,,
1004,0,45022thra02,pad set,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,5/16/2023 12:00:00 AM,0,,
1004,0,50200tbaa14,subframe return,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,12/6/2023 12:00:00 AM,1,,
1004,0,71103swa000,garnish,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,7/6/2023 12:00:00 AM,1,,
1004,0,71108swa000,garnish,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,7/6/2023 12:00:00 AM,1,,
1004,0,71193TBAA00,SPACER,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,3/6/2024 12:00:00 AM,1,,
1004,0,71310TWAA50,BRACKET,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,12/5/2023 12:00:00 AM,1,,
1004,0,71593-t3l-a01,return,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,1/18/2024 12:00:00 AM,1,,
1004,0,71598tbga00,part return,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,6/27/2023 12:00:00 AM,1,,
1004,0,73860tbga11,part return,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,6/27/2023 12:00:00 AM,1,,
1004,0,74155tr0a10,enclosure return,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,12/1/2023 12:00:00 AM,1,,
1004,0,74590tlaa50,fender liner,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,10/13/2023 12:00:00 AM,1,,
1004,0,75450trnh02,outlet,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,10/26/2023 12:00:00 AM,1,,
1004,0,9410914000,washer,OEM,Honda of Thousand Oaks - 15678,0,0,,,2,6/2/2023 12:00:00 AM,0,,
1004,0,core,battery core,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,5/10/2023 12:00:00 AM,1,,
1004,0,haz oil,hazard oil charge,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,6/2/2023 12:00:00 AM,0,,
1004,0,part return,extension,OEM,Honda of Thousand Oaks - 15678,0,0,,,1,7/12/2023 12:00:00 AM,1,,
1004,0,964011nc0a,sunvisor return,OEM,INFINITI OF THOUSAND OAKS - 15678,0,0,,,1,10/9/2023 12:00:00 AM,1,,
1004,0,TIRE,CHAD'S FATHER IN LAW,Aftermarket,Jim's Tire Center - 15678,0,0,,,1,3/21/2024 12:00:00 AM,0,,
1004,0,tires,shop truck,Aftermarket,Jim's Tire Center - 15678,0,0,,,1,3/11/2024 12:00:00 AM,0,,
1004,0,white truck,tires,Aftermarket,Jim's Tire Center - 15678,0,0,,,1,4/3/2024 12:00:00 AM,0,,
1004,0,5215553040,support,OEM,KEYES LEXUS (Lithia) - 15678,0,0,,,1,8/3/2023 12:00:00 AM,1,,
1004,0,5215753040,support,OEM,KEYES LEXUS (Lithia) - 15678,0,0,,,1,8/3/2023 12:00:00 AM,0,,
1004,0,5216153904,"piece, rr",OEM,KEYES LEXUS (Lithia) - 15678,0,0,,,1,8/3/2023 12:00:00 AM,0,,
1004,0,5256253010,retainer,OEM,KEYES LEXUS (Lithia) - 15678,0,0,,,1,8/3/2023 12:00:00 AM,0,,
1004,0,85418C1000,CLIP,OEM,KEYES LEXUS (Lithia) - 15678,0,0,,,4,12/22/2023 12:00:00 AM,4,,
