Driven Brands - MSO,,,,,,,,,,,,,,,
Abra - Parts ordered not recieved by vendor,,,,,,,,,,,,,,,
As of: Today (4/3/2024),,,,,,,,,,,,,,,
Locations: CARSTAR CITY AUTO BODY,,,,,,,,,,,,,,,
"Filters: Estimator: All, Insurance Company: All, Vendor: All, Part Type: All, Part Status: All, RO Status: Open",,,,,,,,,,,,,,,
Sorted By: PO Number (ASC),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
      RO Number,      Vehicle,      Vehicle In,      Line,      Part Number,      Part Type,      Part Description,      RO Qty,      Ordered Qty,      Backorder Qty,      Expected Delivery,      PO Number,      Vendor Name,      Required By,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,17,W714040S300,OEM,RT Fender liner retainer,8,6,0,3/26/2024 12:00:00 AM,2742-PO-003,GALPIN MOTOR - 15678,3/26/2024 12:00:00 AM,,
2742,2023 FORD Bronco Black Diamond 4WD,3/25/2024 4:00:00 PM,5,M2DZ17E784AA,OEM,RT End cap,1,1,0,3/27/2024 12:00:00 AM,2742-PO-004,GALPIN MOTOR - 15678,3/27/2024 12:00:00 AM,,
2642,2017 VOLV XC90 T5 Momentum AWD w/5-Passenger Seating,2/7/2024 12:30:00 PM,15,39849990,OEM,LT Flare narrow primed,1,1,0,3/15/2024 12:00:00 AM,2642-PO-001,GALPIN MOTOR - 15678,3/15/2024 12:00:00 AM,,
2642,2017 VOLV XC90 T5 Momentum AWD w/5-Passenger Seating,2/7/2024 12:30:00 PM,17,31416317,OEM,LT Quarter panel (HSS),1,1,0,3/15/2024 12:00:00 AM,2642-PO-001,GALPIN MOTOR - 15678,3/15/2024 12:00:00 AM,,
2642,2017 VOLV XC90 T5 Momentum AWD w/5-Passenger Seating,2/7/2024 12:30:00 PM,23,40001930,OEM,Upper cover w/o auto park,1,1,0,3/15/2024 12:00:00 AM,2642-PO-001,GALPIN MOTOR - 15678,3/15/2024 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,0,FREIGHT,OEM,FREIGHT,0,0,0,,,GALPIN MOTOR - 15678,,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,18,8A8Z7424630A,OEM,RT Door shell,1,1,0,10/5/2023 12:00:00 AM,1995-PO-001,GALPIN MOTOR - 15678,10/5/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,38,8A8Z74101A04APTM,OEM,RT End cover,1,1,0,10/5/2023 12:00:00 AM,1995-PO-001,GALPIN MOTOR - 15678,10/5/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,48,W714004S900,OEM,RT Applique rivet,3,3,0,10/5/2023 12:00:00 AM,1995-PO-001,GALPIN MOTOR - 15678,10/5/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,49,W706092S300,OEM,RT End cover rivet,2,2,0,10/5/2023 12:00:00 AM,1995-PO-001,GALPIN MOTOR - 15678,10/5/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,9,8A8Z7410176A,OEM,RT Rocker molding,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,22,W712792S300,OEM,RT Door w'strip clip,20,20,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,23,BA8Z74255A34A,OEM,RT Applique front,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,24,BA8Z74255A62A,OEM,RT Applique rear,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,25,8A8Z74255A60A,OEM,RT Upper molding,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,26,AA8Z7425596A,OEM,RT Belt w'strip bright,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,44,8A8Z74423A18BA,OEM,RT Belt molding bright,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,47,BA8Z74290A60A,OEM,RT Applique,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,50,W714702S439,OEM,RT Belt molding clip,5,5,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,51,8A8Z7429144A,OEM,RT Belt molding retainer,5,5,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,52,W714703S300,OEM,RT Belt molding seal,1,1,0,10/12/2023 12:00:00 AM,1995-PO-003,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,27,AT4Z7826800A,OEM,RT Upper hinge,1,1,0,10/12/2023 12:00:00 AM,1995-PO-004,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1995,2013 FORD Flex Limited FWD,10/10/2023 3:30:00 PM,29,7T4Z7826810A,OEM,RT Lower hinge,1,1,0,10/12/2023 12:00:00 AM,1995-PO-004,GALPIN MOTOR - 15678,10/12/2023 12:00:00 AM,,
1844,"2016 FORD Transit Cargo Van T-250 Low Roof 130"" WB 9000# GVWR w/Swing-Out Right Hand Door",9/8/2023 10:00:00 AM,32,CK4Z99425B28AB,OEM,LT Lower molding 180 degree open,1,0,0,,,GALPIN MOTOR - 15678,,,
